"User_input","STRINGdb ID","Species"
"Q4CQW9","Q4CQW9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQX0","Q4CQX0","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQX4","Q4CQX4","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQX8","Q4CQX8","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQX9","Q4CQX9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQY9","Q4CQY9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CQZ9","Q4CQZ9","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CR08","Q4CR08","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CR09","Q4CR09","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CR10","Q4CR10","Trypanosoma cruzi strain CL Brener STRINGdb"
"Q4CR14","Q4CR14","Trypanosoma cruzi strain CL Brener STRINGdb"
